person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
272,KUTA DAHIRU AWAISU,"",Committee Member,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
248,JAFERE ALKALI ABDULKADIR,"",Committee Member,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
299,M. KABIR GARBA,"",Committee Member,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
437,USMAN ABDULAZIZ,"",Committee Member,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
126,BOLUWAJI KUNLE,"",Vice-Chairman,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
37,ADESEUN AYOADE ADEMOLA,"",Committee Member,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
213,HEINEKEN LOKPOBIRI,"",Committee Member,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
754,PATRICK AISOWIEREN,"",Vice-Chairman,Interior Committee (Reps),Legislative Committee - Federal Reps,,"",2019-06
801,MUNTARI DANDUTSE,"",Vice-Chairman,FCT Judiciary Committee (Reps),Legislative Committee - Federal Reps,,"",2019-05
218,IBRAHIM ABU,"",Committee Member,Solid Minerals Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
258,KABIRU MARAFA ACHIDA,"",Committee Member,Population Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
258,KABIRU MARAFA ACHIDA,"",Vice-Chairman,Niger Delta Committee (Reps),Legislative Committee - Federal Reps,,"",2019-05
258,KABIRU MARAFA ACHIDA,"",Vice-Chairman,Niger Delta Development Commission Committee (Reps),Legislative Committee - Federal Reps,,"",2019-05
251,JERRY ALAGBASO,"",Committee Member,Banking & Currency Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
142,CHUKWUDI JONES VICTOR ONYERERI,"",Chairman,Banking & Currency Committee (Reps),Legislative Committee - Federal Reps,,2011,2019-05-29
75,ALIYU SANI MADAKI,"",Committee Member,Banking & Currency Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
